sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
480,Vidiem,Rejected-CH,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, wet grinders, gas stoves, induction cooktops, kitchen appliances",https://www.vidiem.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Low profitability,"Website and the products are good, not profitable. Promoter wanted to sell"
481,Nelcon Industries,In-Conversation,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Pressure cookers, pressure pans, stainless steel cookware, kitchen accessories",https://nelconindustries.com/,CH_cookware research(CH TRACKER FILE),"Data NA on VCC (raised), Traxcn FY25 Rev : 81 cr",,,,,,,,,,,,,,,"Based out of Palghar, Maharashtra
Data NA on VCC (raised), Traxcn FY25 Rev : 81 cr
Products: Steel & Copper Bottles, Steel Flasks, Steel Storage Containers, Oil dispenser & Electrical Kettle
Available on Amazon, Zepto, JIoMart, BigBasket
Through website they only do bulk orders
Promoter: Dhiresh Pravin Parmar (917709785555, dhireshparmar5555@gmail.com) & Disha Dhiresh Parmar (918286180753)"
482,"Nestasia
———
Nestasia (metal cookware lines)",Screened-Out,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron cookware, triply cookware, frying pans, casseroles, Dutch ovens, kitchen accessories",https://nestasia.in,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Skip
———
Already funded"
483,Nirlep,Screened-Out,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Non-stick cookware, hard anodized cookware, fry pans, tawa, kadai, cookware sets, pressure cookers",https://www.amazon.in/stores/Nirlep/page/EC9DBF50-DDE6-4087-A153-195D0D789249?lp_asin=B07H4BZK4D&ref_=ast_bln&store_ref=bl_ast_dp_brandlogo_sto,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,Brand by Bajaj Electricals
484,CraftVatika,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden décor, wall décor, idols, decorative trays, sculptures, home accessories",https://craftvatika.com/?srsltid=AfmBOoo21sxMDxRIrctkoQ-lV1eerA4LtZjWgakKedVrWSGcncBNcn8D,CH Master File - Mainsheet Shortlist_New,"Skip based on financial analysis - structural challenges around low margins(GM-15%, EBITDA-3-4%), weak profitability, and channel dependence make it unattractive",,,,,,,,,,,,,,Low profitability,"Skip based on financial analysis - structural challenges around low margins(GM-15%, EBITDA-3-4%), weak profitability, and channel dependence make it unattractive"
485,Nutristahl,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Tri-ply cookware, frying pans, kadai, saucepans, casseroles, stock pots, cookware sets",https://nutristahl.com,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,US based company
486,OmiChef Cookware LLP,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, fry pans, kadai, saucepans, cookware sets",https://www.omichef.com/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,Reached out to promoter. Yet to get back
487,PDDFalcon,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, cookware accessories",https://pddfalcon.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,Not interested in the model,Reached out and rejected
488,Peng Essentials,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, kitchen tools, serving accessories, kitchen essentials",https://pengessentials.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Part of PTC India ( Govt -promoted company)
Harshdeep Gandhi - 9899722794
https://ptc-india.in/. Rejcted since subsidiary of PTC india"
489,Pigeon,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, air fryers, electric kettles, pressure cookers, gas stoves, cookware",https://pigeoncookware.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,Flagship brand of stovekraft
490,Pots & Pans (India – cookware lines),Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, tri-ply cookware, non-stick cookware, fry pans, casseroles, cookware sets",https://www.potsandpans.in/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,US brand
491,Blow Hot Kitchen Appliances,Rejected-CH,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Mixer grinders, induction cooktops, electric kettles, chimneys, gas stoves, kitchen appliances",https://blowhotindia.com/?srsltid=AfmBOoqZwJe6CD6acxoHGt9x9JZrHkLHTLETurbQjgu90UrpRGohW38s,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Low profitability,"Appliances, Loss making so skipped"
492,Premier Kitchen,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, wet grinders, gas stoves, pressure cookers, induction cooktops, kitchen appliances",https://premierkitchen.in,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,Part of sivanesan group of companies
493,Prestige (TTK Prestige),Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Induction cooktops, chimneys, mixer grinders, gas stoves, air fryers, ovens, pressure cookers, cookware",https://ttkprestige.com,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,Listed company
494,Princeware,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Plastic food storage containers, kitchen organizers, lunch boxes, bottles, storage solutions",https://princeware.net,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,Company mainly does B2B and products are very basic
495,Pringle Homeware,To-Contact,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, tableware, kitchen accessories, serving ware, storage products",https://pringle.in/,Current focus sheet (CH tracker file),,,,,,,,,,,,,,,,To reach out
496,Pure Flame appliances,Rejected-Promoter,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Gas stoves, induction cooktops, chimneys, kitchen electrical appliances",https://pureflames.co.in/,CH_Small Appliances(CH tracker file),,,,,,,,,,,,,,,Not interested in the model,Reached out and rejected
497,Ramson Industries,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Kitchen utensils, cutlery, graters, peelers, strainers, serving accessories, kitchen tools",www.ramsonind.com,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Valuation,Dhiraj is in contact
498,Ratna Home Products,To-Contact,Home Storage & Organization,Decor & Home Improvement,Plastic Houseware,"Stainless steel kitchenware, storage containers, cookware, serving products",https://www.ratnahomeproducts.in/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,WA msg dropped
499,Rico Appliances,Rejected-Promoter,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://www.rico.in/,CH_Small Appliances(CH tracker file),,,,,,,,,,,,,,,Not interested in the model,Reached out and rejected
500,Roca Cookware,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, fry pans, kadai, casseroles, cookware sets",https://rocacookware.com,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Not interested in the model,"Not interested, Skip"
501,"Rock Tawa
———
Rock",Screened-Out,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron tawa, dosa tawa, grill pan, skillet, cookware",https://rocktawa.com,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,"Not replied
———
Company produces cast iron cookware, Metal cookware & serveware, Drinkware & accessories but scale is less. Hence skipped"
502,Rosh Cookwares,To-Contact,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, non-stick cookware, fry pans, kadai, cookware sets",https://roshcookwares.in/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,Contact details not available
503,Rudra Kitchen World Pvt Ltd,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, dinner sets, serving ware, storage containers",https://rudrakitchenworld.com/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,"No contact number available, e-mail sent through connect IB"
504,Salt,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Scented candles, reed diffusers, aroma products, home fragrance accessories",https://www.salt-lifestyle.in/,CH_Small Appliances(CH tracker file),,,,,,,,,,,,,,,,Low scale hence skip
505,Saurabh Stainless Steel,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, dinner sets, kitchen utensils, serving ware, storage containers",https://www.saurabhsteel.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,Established company and largely does b2b
506,Dream living,Rejected-CH,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, curtains, cushion covers, home linen",https://sites.google.com/dreamliving.in/www-dreamliving-in/home,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,On Hold,"Company's scale is not found but the company's product catalogue is good.
———
Website not available"
507,Shiv Shakti Kitchenware,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, storage containers, serving accessories",https://www.shivshaktienterprises.org/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,B2B hence rejected
508,Shri & Sam,To-Contact,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, frying pans, kadai, cookware sets",https://shriandsam.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,to take update from ST
509,Signoraware,Rejected-Promoter,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, lunch boxes, insulated casseroles, bottles, kitchen organizers",https://signoraware.com/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Not interested in the model,Founder was not replying
510,Skyline,Rejected-Promoter,Home Appliances,Small Appliances,Fans,"Mixer grinders, induction cooktops, electric kettles, air fryers, sandwich makers, irons, fans, kitchen appliances",https://skylineappliances.online/,CH_Small Appliances(CH tracker file),,,,,,,,,,,,,,,Not looking to sell,"Company does kitchen and home appliances
Not looking for any investment"
511,"Stahl Kitchens
———
Stahl",Rejected-Promoter,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Tri-ply cookware, frying pans, kadai, saucepans, stock pots, cookware sets",https://stahlkitchens.com,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,Valuation,"Reached out and rejected
———
Website and the products are good"
512,EHA,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden décor, handcrafted décor, serveware, home accessories, eco-friendly décor",https://eha.eco/,CH Master File - Mainsheet Shortlist_New,"Overall FY26E Revenue: ~₹36 crs, EBITDA: ~8%, PAT: 6-7% | Consumer Products (Eha Brand) Revenue: ~ ₹24-26 crs | Sale of raw sustainable materials Revenue : ~₹10–12 crs | EBITDA FY25: ~6% | 7 cr",,,,,,,,,,,,,,Low profitability,"- Company Overview : EHA is a sustainability-led materials and consumer products company focused on developing eco-conscious alternatives across planters, packaging, and building materials

Founder Background: 
- Founder: Mahadev Chikkanna
- Experience: ~25 years
- First ~15 years in the IT industry (Infosys, L&T Tech), working across the US and Europe

Eha Journey:
- In 2015, driven by a personal calling toward social entrepreneurship and climate impact, decided to start his own venture
- 2016–2019 dedicated largely to R&D - Focused on developing sustainable materials, initially targeted at automotive applications
- First commercial order in 2019 enabled the setup of EHA’s first manufacturing facility
- Pivot During COVID (2020) : Began selling face shields, listing them on Amazon
- Post-COVID Growth & Brand Formation : Continued selling on Amazon post-COVID and gradually expanded the product portfolio

Business Verticals & Brands
- Consumer Products (EHA brand) : Planters and home/lifestyle products
- Packaging Materials : Brand: Lowpak
- Supplies sustainable packaging solutions : Clients include brands like MAE, Sleepy Owl, Araku Coffee, etc., who use EHA’s materials
- Building Materials (3S vertical) : Tiles, wall cladding, flooring solutions. Not actively pushed yet, but seen as a future growth lever

Channel Expansion for Consumer Products
- Scaled Amazon presence for ~1.5 years
- Expanded into: B2B sales to corporates and later Quick commerce & marketplaces (Zepto, Flipkart, etc.)

Product & Category Strategy
- Initial entry price point was ~₹600
- Gradually expanded into higher ASP products (₹1,500–2,000), which are now best sellers
- Market share of ~3–4% in planters on Amazon
- Recently launched landscape planters

Materials & Sustainability
- Core strength lies in material innovation
- Raw materials sourced include: Crop waste, Bamboo waste and Wood waste
- These are processed at the Mysore plant and converted into fibres
- Fibres are combined using binders made from recycled or bio-waste plastics

Manufacturing & Infrastructure
- EHA manufactures its materials in-house
- Manufacturing facility located in Mysore
- Experience centre in Bangalore (towards Mysore)

Financial Snapshot
- Overall FY26E Revenue: ~₹36 crs, EBITDA: ~8%, PAT: 6-7% 
- Consumer Products (Eha Brand) Revenue: ~ ₹24-26 crs
- Sale of raw sustainable materials Revenue : ~₹10–12 crs 
- EBITDA FY25: ~6%
- Asset-light business with minimal depreciation and interest costs
- Inventory levels: ~₹3.6–3.7 cr
- Amazon and other e-commerce channels each contribute ~₹70–80 lakh"
513,Swastha Cookware,To-Contact,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron tawa, kadai, skillet, grill pan, dosa tawa, appam pan, cookware",https://swasthacookware.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Company does cast iron cookware, 6k + followers on instagram"
514,The Chef Story,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Stainless steel cookware, tri-ply cookware, non-stick cookware, frying pans, kadai, casseroles",https://thechefstory.in,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Part of established kasliwal group, hence rejected"
515,The Indus Valley,Screened-Out,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron cookware, iron cookware, wooden kitchen tools, chopping boards, cookware accessories",https://theindusvalley.in,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Already funded, hence rejected"
516,Ellementry,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Serveware, tableware, wooden décor, kitchen accessories, lighting, planters, decorative accents",https://www.ellementry.com/,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,Low profitability,The website and the products are good. Loss making
517,ExclusiveLane,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, table décor, serveware, planters, lighting, handcrafted home accessories",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,Low profitability,Products are good
518,UPC,Rejected-Promoter,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, tri-ply cookware, frying pans, kadai, casseroles, cookware sets",https://upchome.in,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Valuation,Promoter not interested
519,Asian Plastoware,Rejected-CH,Home Storage & Organization,Kitchen,Kitchen Storage,"Kitchen storage containers, buckets, tubs, household plasticware, utility products",https://www.asianplastowares.com/en/about#,Collated Sheet,,,,,,,,,,,,,,,Low profitability,The products are basic. However the company has high scale
520,Zishta,Rejected-CH,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron cookware, brass cookware, bronze cookware, soapstone cookware, clay cookware, copper cookware",https://zishta.com/,Collated Sheet,,,,,,,,,,,,,,,Low profitability,"Website is good, growing company"
521,VIinayak International Housewares Private Limited,Rejected-Promoter,Home Storage & Organization,Decor & Home Improvement,Plastic Houseware,"Stainless steel kitchenware, cookware, serveware, storage containers, kitchen accessories",,CH_Focussed list (CH Tracker File),"Rev 82 crs , PAT 8-10%, oem heavy business (Shared by CH Team)",,,,,,,,,,,,,,Not interested in the model,"Rev 82 crs , PAT 8-10%, oem heavy business (Shared by CH Team). Founder not interested"
522,Vinod Cookware,In-Conversation,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Tri-ply cookware, stainless steel cookware, pressure cookers, kadai, fry pans, cookware sets","https://vinodcookware.com
———
https://vinodsteel.com",CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,"In talks - meeting on 10-4-26
———
Established, rejected"
523,Visalam Cookware,To-Contact,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Non-stick cookware, pressure cookers, induction cookware, frying pans, kadai, cookware sets",https://visalamcookware.com/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,,"Based out of Chennai. Aluminium & Steel products
Products : Cookware (Non-stick), Pressure Cooker, Induction Cookware"
524,SPPL,Rejected-CH,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, storage containers",,NDA Tracking,,,,,,,,,,,,,,,Low profitability,Shared NDA & Data request
525,LONGWAY,Rejected-Promoter,Home Appliances,Small Appliances,Fans,"Ceiling fans, mixer grinders, induction cooktops, electric irons, room heaters, kitchen appliances",https://longwayindia.com/,CH Master File - Mainsheet Shortlist_New,"FY25: ~₹122 Cr NMV, FY26 Target: ~₹180 Cr, Online contributes ~95% of sales, MT/GT ~5%, Own website (started recently) contributes 1 | 5% (₹10–12 L/month), target ₹50 L/month, EBITDA margin: ~5–6%",,,,,,,,,,,,,,Valuation,"FY25: ~₹122 Cr NMV, FY26 Target: ~₹180 Cr, Online contributes ~95% of sales, MT/GT ~5%, Own website (started recently) contributes 1.5% (₹10–12 L/month), target ₹50 L/month, EBITDA margin: ~5–6%."
526,Story @ Home,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, pillows, cushions, towels, curtains, home linen",https://storyathome.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Valuation,"Earlier was selling offline now selling online profitably. Better of the lot, will sell close to 2x. All outsourced manufacturing 100% from india"
527,Jd Fresh,To-Contact,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Wardrobe organizers, bathroom organizers, storage organizers, personal grooming appliances, home utility products",https://www.jdfresh.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Wadrobe organizer, Bathroom organizers & accessories and personal grooming appliances, toys."
528,BSB Home,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, pillow covers, cushions, home linen",https://www.bsbhome.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are mass
529,Lukzer,Screened-Out,Home Appliances,Small Appliances,Kitchen Chimneys & Hobs,"Gas stoves, chimneys, induction cooktops, mixer grinders, kitchen appliances",https://lukzer.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,
530,Aquadpure,Screened-Out,Home Appliances,Small Appliances,Water Purifiers,"RO water purifiers, UV water purifiers, RO+UV systems, filters, water purification accessories",https://www.aquadpure.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Only do water purification solutions. Very good ratings on amazon. To reach out
531,Solara,Rejected-Promoter,Home Appliances,Small Appliances,Small Kitchen Appliances,"Air fryers, mixer grinders, induction cooktops, electric kettles, cookware, kitchen accessories",https://www.solara.in/,CH Master File - Mainsheet Shortlist_New,"): INR 42 Cr (PAT margin 3–4%), MRR: ~INR 7 Cr (6–7% margin) → targeting INR 8 Cr next month, FY26 (projection): INR 75–80 Cr (PAT margin 6–7%, steady state target 10% can be reachable)",,,,,,,,,,,,,,Valuation,"FY25 (est.): INR 42 Cr (PAT margin 3–4%), MRR: ~INR 7 Cr (6–7% margin) → targeting INR 8 Cr next month, FY26 (projection): INR 75–80 Cr (PAT margin 6–7%, steady state target 10% can be reachable)"
532,About Space,To-Contact,Home Storage & Organization,Decor & Home Improvement,Laundry Organization,"Storage racks, organizers, shelves, laundry baskets, kitchen organizers, bathroom organizers, décor accessories",https://www.aboutspace.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Aneri did not seem interested
533,Homemonde,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, dohars, curtains, cushions, towels, home linen",https://www.homemonde.in/,CH Master File - Mainsheet Shortlist_New,"FY24 INR 18 Cr | 65 Cr | (EBITDA breakeven), FY26: Current MRR INR 5 Cr | , March MRR target INR 8 Cr",,,,,,,,,,,,,,Valuation,"FY24 INR 18 Cr. → FY25 INR 32.65 Cr. (EBITDA breakeven), FY26: Current MRR INR 5 Cr., March MRR target INR 8 Cr."
534,DesiDiya,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative diyas, festive décor, LED diyas, lanterns, candle holders, pooja décor, home décor accessories",https://desidiya.com/,CH Master File - Mainsheet Shortlist_New,"Revenue trajectory: INR 7–8 Cr → INR 18 Cr → INR 40–45 Cr → ~INR 100Cr (FY25), FY25 EBITDA Margin: ~8%, FY25 PAT Margin: ~5%, FY26 Target: INR 150 Cr+ | (maintaining 4-5% PAT Margin)",,,,,,,,,,,,,,Valuation,"Revenue trajectory: INR 7–8 Cr → INR 18 Cr → INR 40–45 Cr → ~INR 100Cr (FY25), FY25 EBITDA Margin: ~8%, FY25 PAT Margin: ~5%, FY26 Target: INR 150 Cr+. (maintaining 4-5% PAT Margin)"
535,Linenwala,Rejected-Promoter,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, duvet covers, quilts, pillows, towels, bath linen, cushion covers",https://linenwalas.com/,CH Master File - Mainsheet Shortlist_New,"FY25 Revenue: ~INR 50 crore & Profitability: ~10% PAT,FY26 - ARR for India is 40-50 cr",,,,,,,,,,,,,,Valuation,"FY25 Revenue: ~INR 50 crore & Profitability: ~10% PAT,FY26 - ARR for India is 40-50 cr"
536,TEX-RO,In-Conversation,Home Storage & Organization,Decor & Home Improvement,Home Organization,"Kitchen organizers, home organisers, jars & containers",https://tex-ro.com/,CH Master File - Mainsheet Shortlist_New,"FY25: Rev - ~27-30crs, EBITDA Margin: 8-10%, PAT Margin: 5%, FY26 expect to close Rev at INR ~37cr, Amazon contributes to 80% of the sale",,,,,,,,,,,,,,,"FY25: Rev - ~27-30crs, EBITDA Margin: 8-10%, PAT Margin: 5%, FY26 expect to close Rev at INR ~37cr, Amazon contributes to 80% of the sale"
537,Esspy,Rejected-CH,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Pressure cookers, pressure pans, cookware, kitchen accessories",https://www.amazon.in/stores/page/363952F6-A145-4E51-A19C-B3755EE417AE?ingress=2&visitId=21402d5b-ac67-47e0-a843-018b0ddfab12&ref_=ast_bln,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Low Scale,Website not available. Products listed on amazon are quite decent
538,Bathla,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Racks & Shelves,"Ladders, ironing boards, drying stands, storage racks, trolleys, kitchen organizers",https://www.bathla.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Manufacturers of Aluminium products like Ladder, Bathroom Acessories, Storage, Kitchenware. Moneel has confirmed NDA & Deck shared. 
Spoke to Dharmil - to be skipped"
539,Ishro Home,Reached-NoResponse,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, dohars, blankets, cushion covers, curtains",https://ishrohome.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,
540,Export House,Rejected-CH,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, kitchen accessories",https://exporthouse70.com/,CH_Focussed list (CH Tracker File),Currently Interacting - Revenue 20 Cr with a GM of 50-60% and EBITDA of 25% | FY27 Target: 30 Cr | 5 Cr on books (4 Cr total) | Curtains contribute to 30% of revenue | Retail Expansion: Add 20 COCO stores (Capex: ₹1 Cr/store + ₹5 Cr Ops) | They aim to scale Online Revenue to ₹20-25 Cr,,,,,,,,,,,,,,Low scale,"Currently Interacting - Revenue 20 Cr with a GM of 50-60% and EBITDA of 25%. 
FY27 Target: 30 Cr
Working Capital: 80-90L, Inventory: 1.5 Cr on books (4 Cr total). Curtains contribute to 30% of revenue
COCO (Company Owned): 2 Stores in Tricity
Franchisee: 4 Stores (Hyderabad, Delhi, Goa, Bangalore).

Growth Plans
Retail Expansion: Add 20 COCO stores (Capex: ₹1 Cr/store + ₹5 Cr Ops)
Digital Pivot: Currently, 90-95% of sales are offline. They aim to scale Online Revenue to ₹20-25 Cr."
541,Kreme Cookware,Rejected-CH,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, triply cookware, kadai, fry pans, saucepans, cookware sets",https://www.kremeworld.com/,CH_Focussed list (CH Tracker File),Pat -ve (Shared by CH team),,,,,,,,,,,,,,Low profitability,"Trending at ARR of 14 Crs this year (Mar26 closing at about 1.3 Crs). Pat -ve (Shared by CH team)
Targeting ~45 Crs next year basis ARR, Roughly ending at 4X (Mar27 closing at about 4.2 crs)"
542,Hokipo,Onboarded,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Curtains, cushions, bedsheets, rugs, table linen, home décor accessories",https://hokipo.in/,CH Master File - Mainsheet Shortlist_New,"FY25 revenue target: INR 83 Cr (~INR 90 Cr including other entities), PAT: ~INR 13 Cr (15–18% PBT margin, ~₹10 Cr post-tax) | FY26: ~INR 100 Cr | (similar PBT Margins 15-18%)",,,,,,,,,,,,,,,"FY25 revenue target: INR 83 Cr (~INR 90 Cr including other entities), PAT: ~INR 13 Cr (15–18% PBT margin, ~₹10 Cr post-tax). FY26: ~INR 100 Cr. (similar PBT Margins 15-18%)"
543,PANCA,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Decorative lamps, pendant lights, wall lights, table lamps, lighting accessories",https://pancaworld.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Products are quite basic
544,Navarasa Cookware (HK Navarasa India),Rejected-CH,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, triply cookware, kadai, fry pans, saucepans, cookware sets",https://navarasa.in/,CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,Low Scale,"Interacted, offline meet to be set up in Chennai"
545,Tied Ribbons,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Artificial flowers, vases, candles, festive décor, wall décor, gifting products",https://www.tiedribbons.com/?srsltid=AfmBOoqI2SWGJSm9zu0AAaM2gc4_OBc9Vic9E0LcG28c3svnDHG1_jMG,CH Master File - Mainsheet Shortlist_New,"FY26E 80 cr with 20% pat margin, FY25 55-60cr with 20% PAT margin | he's interested in majority sale at 10-12x PAT",,,,,,,,,,,,,,Valuation,"FY26E 80 cr with 20% pat margin, FY25 55-60cr with 20% PAT margin. he's interested in majority sale at 10-12x PAT"
546,Loreto - A Quality Linen,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, pillow covers, comforters, quilts, duvet covers, home linen",https://www.loretoworld.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,"Large focus on bedsheets but also do blankets, comforters & pillow covers in the mass premium segment"
547,"Sumeet
———
Sumeet cookware",Rejected-Promoter,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, juicers, food processors, induction cooktops, pressure cookers, cookware",https://sumeetcookware.in/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,Valuation,"No response
———"
